movieCd,link,imgurl,rate,감독,연도,제목,비고
20185444,https://movie.naver.com/movie/bi/mi/basic.nhn?code=125438,https://ssl.pstatic.net/imgmovie/mdi/mit110/1254/125438_P06_114959.jpg,8.73,"['마이크 미첼', '마이크 미첼|']","['2019', '2019']","['레고 무비2', '레고 무비2']",동명영화 없음
20184105,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167699,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167699_P40_175859.jpg,9.07,"['엄유나', '엄유나|']","['2019', '2018']","['말모이', '말모이']",동명영화 없음
20185124,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180220,https://ssl.pstatic.net/imgmovie/mdi/mit110/1802/180220_P01_102406.jpg,9.28,"['', '']","['2019', '2018']","['러브 유어셀프 인 서울', '러브 유어셀프 인 서울']",동명영화 없음
20184896,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174830,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174830_P17_104205.jpg,9.59,"['나딘 라바키', '나딘 라바키|']","['2019', '2018']","['가버나움', '가버나움']",동명영화 없음
20176251,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164172,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164172_P08_114039.jpg,8.19,"['강효진', '강효진|']","['2019', '2018']","['내안의 그놈', '내안의 그놈']",동명영화 없음
20189463,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152632,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152632_P19_104759.jpg,8.68,"['리치 무어', '필 존스턴|리치 무어|']","['2019', '2018']","['주먹왕 랄프 2: 인터넷 속으로', '주먹왕 랄프 2: 인터넷 속으로']",동명영화 없음
20182544,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163826,https://ssl.pstatic.net/imgmovie/mdi/mit110/1638/163826_P07_174644.jpg,7.40,"['M. 나이트 샤말란', 'M. 나이트 샤말란']","['2019', '2018']","['글래스', '글래스']",fit
20186324,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144318,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144318_P19_100103.jpg,9.31,"['이춘백', '오성윤|이춘백']","['2019', '2018']","['언더독', '언더독']",fit
20185485,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156464,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156464_P49_182103.jpg,9.42,"['브라이언 싱어', '브라이언 싱어|']","['2018', '2018']","['보헤미안 랩소디', '보헤미안 랩소디']",동명영화 없음
20189385,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168056,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168056_P10_100606.jpg,7.19,"['안드레스 코투리어', '안드레스 코투리어|토드 레스닉']","['2019', '2018']","['몬스터 파크', '몬스터 파크']",fit
20180290,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151153,https://ssl.pstatic.net/imgmovie/mdi/mit110/1511/151153_P19_095147.jpg,8.35,"['제임스 완', '제임스 완']","['2018', '2018']","['아쿠아맨', '아쿠아맨']",fit
